pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
Bottle & Glass,Indiranagar,Bar,,,220,220,165,,,,255,495,,225,,,,,,495,,,,,,,,,,,355,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutra Spice-The Resto Bar,Koramangala 4th Block,Bar,,,270,,,240,,,,390,,270,,255,255,270,,,,,250,260,,,,,,,170,255,,170,,260,,,,,,,,,,,,,,,,,,,,,,,,
Oil Pump,Koramangala 6th Block,Bar,123,,189,199,123,,,,189,410,,170,,,,,410,410,,,,,,,,170,,189,189,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
Take 5,Indiranagar,Lounge,260,,280,305,230,,,280,395,,,270,280,,280,,470,470,,260,,,,,,280,,,280,280,,,,,,,,,,,,,,,,,,470,470,470,,,,470,,,,
Darbar,Banashankari,Bar,190,180,220,250,,190,,190,250,350,,220,250,,230,230,,,,,,190,180,220,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,190,,190,
Downtown,Residency Road,Pub,,,170,170,175,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chameleon Lounge Bar,"Comfort Inn Insys, Yeshwantpur",Lounge,100,140,,,,,,,200,380,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amruth Parkland,Sarjapur Road,Bar,115,,140,,,120,,120,,,,125,,,125,,,,,120,,180,,170,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,
Sutra - The Lalit Ashok Bangalore,"The Lalit Ashok Bangalore, Seshadripuram",Lounge,300,,350,,300,,,,400,650,,400,,,,,,,,,,,,,,,,,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYT RestroPub,MG Road,Pub,,,,,220,220,,,270,410,,250,,,220,,,,,,,230,220,,,,,,170,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassy,Bellandur,Club,,,190,,150,,,,225,450,,200,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pepper Lounge - Case de Bengaluru,"Casa de Bengaluru, Koramangala",Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Local - Burger Bar,Koramangala 6th Block,Pub,250,250,300,,,,,,350,370,,260,290,,300,290,,370,370,260,,,,260,,,,250,,,,,,,,,,,,,,,,,,,,370,370,370,,,,,,,290,
Retro Lounge Bar,Ulsoor,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hub - Ibis Bengaluru Techpark,"Ibis Bengaluru Techpark, Marathahalli",Bar,,,275,,190,,,225,,400,400,,,,220,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,425,425,,,,,,,,
Beetle Juice Bar - Springs Hotel & Spa,"Springs Hotel & Spa, Basavanagudi",Bar,200,,275,,200,275,,,275,500,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FireHouse - Bar & Kitchen,HBR Layout,Pub,129,,169,,129,,,,199,379,,169,,,,,,,,129,,,,,169,169,,,199,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head's Or Tail's,Wilson Garden,Bar,130,,145,,130,,,,160,340,,160,,,145,,190,350,,130,,120,,,,110,,,200,150,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
B52 - Sports Bar,"RG Royal Hotels, Yeshwantpur",Bar,160,160,220,,,,,,295,345,,220,,,220,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W XYZ Bar - Aloft Bengaluru Cessna Business Park,"Aloft Bengaluru Cessna Business Park, Bellandur",Lounge,225,300,,,,,,,395,,495,325,,,275,,,,495,275,,,,250,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sky Lounge - Tamarind Hospitality,Tamarind Hospitality,Bar,230,250,250,250,230,230,,230,270,350,,250,270,,250,,,,,230,,,,275,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aura - Radha Regent,"Radha Regent Bengaluru, Electronic City",Bar,375,,,,245,,,,395,,,275,,,,,595,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar UNO - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road",Lounge,,,230,,200,,,,290,510,,250,,,,,,450,,200,,,,,,,,,,,,,,,450,525,,,,,,,,,,,,,,,,,,,,,,
Terrace Lounge,Bannerghatta Road,Lounge,260,,290,,250,260,,,210,450,,260,280,,160,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiddler's Green,Kalyan Nagar,Bar,,,,,150,,,,265,410,,190,235,,180,,,425,,170,,,,180,,,,,215,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Glow,Whitefield,Pub,100,100,,,,,,,,450,,150,,,,,,,,100,,,,100,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Bar - Le Meridien,"Le Meridien, Sankey Road",Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid - Hyatt Centric MG Road,"Hyatt Centric, MG Road",Lounge,350,350,400,,,,,,500,800,,450,,,,,,,,,,,,,450,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotcha,JP Nagar,Bar,,,165,,140,,,,225,400,,150,,,,,,450,,,,,,,,,,,300,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Peppermill,Seshadripuram,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nostradamus Bar & Lounge,Fortune Select JP Cosmos Hotel,Bar,,425,500,500,350,,,,450,625,,275,,,350,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Terminus - The Oterra,"The Oterra, Hosur Road",Lounge,275,,375,,300,,,,,550,,375,,,,,,,,,,,,,,,,,350,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,
Redice @ Wonderla Resort,Mysore Road,Bar,,199,,,329,,,,475,,,369,375,,,,,319,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Wings Bar & Restaurant,Banashankari,Bar,166,166,230,230,,173,,,250,,,230,250,,,210,,,,166,,173,,,240,,,,135,125,,,,,,,138,,,,,,,,,,,,,,,,,,,,,
W XYZ - Aloft Hotel,"Aloft Hotel, Whitefield",Lounge,175,175,200,,,,,,250,400,,175,,,,,400,,,200,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envy,Hotel La Classic,Lounge,230,,250,,230,250,,250,200,400,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tease - Vivanta By Taj,"Vivanta By Taj, Whitefield",Lounge,,250,295,,,,,,350,550,,,,,295,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
